Model,Year,Region,Color,Fuel_Type,Transmission,Engine_Size_L,Price_USD,Sales_Volume
m3,2016,south america,grey,electric,automatic,3.0,93915.0,9470
x6,2011,middle east,blue,diesel,automatic,3.4,117237.0,5425
i8,2013,south america,black,diesel,manual,2.7,34193.0,425
x6,2018,asia,red,electric,manual,2.3,89970.0,4935
3 series,2021,north america,black,hybrid,automatic,3.9,65089.0,660
3 series,2023,europe,black,electric,manual,2.8,86402.0,4266
m3,2011,asia,red,diesel,automatic,3.7,44322.0,2191
x3,2019,asia,silver,electric,automatic,4.2,111352.0,1932
7 series,2018,middle east,blue,petrol,manual,4.2,50620.0,6962
3 series,2019,south america,silver,hybrid,manual,2.8,44950.0,1703
x6,2014,europe,grey,diesel,manual,3.5,101523.0,8589
5 series,2011,middle east,red,hybrid,automatic,3.1,31815.0,2011
7 series,2013,asia,red,hybrid,manual,4.5,118363.0,1564
i3,2021,south america,red,electric,manual,4.6,43355.0,945
x1,2024,europe,red,petrol,automatic,2.7,84346.0,4289
i3,2021,north america,silver,electric,automatic,1.8,66155.0,3748
x1,2016,europe,black,petrol,manual,2.1,101753.0,3476
x3,2021,north america,grey,electric,manual,2.8,68274.0,5759
x3,2022,middle east,grey,petrol,manual,3.5,78144.0,9420
m3,2017,north america,grey,hybrid,automatic,3.8,87604.0,9797
m5,2024,north america,black,diesel,manual,2.7,90388.0,7944
7 series,2012,south america,silver,petrol,manual,3.8,102551.0,6709
7 series,2023,north america,grey,diesel,automatic,4.8,117121.0,4823
x6,2010,europe,red,hybrid,manual,3.8,68106.0,1048
i8,2013,middle east,grey,petrol,manual,2.1,78729.0,9545
m5,2011,north america,grey,hybrid,automatic,3.5,71912.0,2167
m5,2017,south america,white,petrol,manual,3.4,94286.0,3140
x6,2013,south america,white,hybrid,manual,4.5,50923.0,7821
i8,2011,middle east,grey,diesel,automatic,2.7,37887.0,2085
x3,2023,europe,red,hybrid,manual,3.0,101473.0,8030
i8,2015,middle east,black,electric,manual,3.6,96965.0,5409
x5,2015,middle east,black,hybrid,automatic,3.3,76799.0,4367
x3,2019,north america,silver,hybrid,automatic,4.0,119927.0,1472
i3,2013,africa,black,diesel,manual,1.6,72385.0,455
i3,2015,asia,silver,electric,manual,3.5,63696.0,7218
x6,2022,asia,white,electric,manual,1.9,35951.0,3389
x5,2024,asia,blue,hybrid,automatic,2.6,95900.0,8581
i8,2011,europe,red,hybrid,automatic,3.8,44846.0,1431
x5,2019,africa,blue,electric,manual,2.1,95908.0,2775
x1,2021,asia,silver,diesel,manual,2.6,119897.0,4601
3 series,2011,middle east,red,hybrid,automatic,4.0,55612.0,6698
m5,2019,europe,black,diesel,manual,3.8,72188.0,6056
i3,2023,africa,grey,hybrid,manual,1.8,89587.0,6301
m5,2013,asia,red,diesel,automatic,3.5,46231.0,8734
x1,2023,middle east,silver,diesel,manual,2.0,85801.0,8644
7 series,2024,north america,grey,electric,manual,2.4,92213.0,5456
7 series,2024,africa,blue,diesel,automatic,3.1,42013.0,8472
i8,2017,asia,grey,petrol,automatic,1.9,50942.0,5940
7 series,2023,europe,red,electric,manual,5.0,83812.0,2241
7 series,2016,africa,grey,petrol,automatic,2.1,93993.0,8663
x3,2021,africa,blue,electric,automatic,4.2,30158.0,8293
i8,2018,europe,black,petrol,automatic,4.4,102279.0,8445
i3,2023,north america,silver,electric,manual,5.0,36081.0,190
7 series,2017,middle east,grey,petrol,automatic,3.0,93431.0,7462
m3,2014,middle east,blue,diesel,manual,4.6,40950.0,8339
i8,2022,south america,grey,diesel,automatic,4.9,66212.0,4055
5 series,2011,europe,white,petrol,automatic,2.1,90224.0,3683
3 series,2024,south america,grey,hybrid,automatic,3.2,49557.0,1180
x6,2014,europe,blue,diesel,automatic,1.7,100663.0,9100
x5,2017,south america,grey,petrol,manual,3.7,83059.0,6844
m5,2019,asia,blue,petrol,manual,3.5,45389.0,8882
x6,2018,north america,red,diesel,automatic,2.2,36520.0,2914
3 series,2021,africa,grey,diesel,manual,4.3,40194.0,4548
5 series,2021,asia,blue,electric,manual,1.6,82668.0,271
x3,2021,middle east,grey,electric,automatic,4.3,107348.0,2451
7 series,2022,north america,silver,petrol,automatic,1.6,52099.0,4212
x5,2018,middle east,black,petrol,manual,3.8,117084.0,3275
m3,2022,asia,blue,diesel,manual,1.8,38811.0,7337
x6,2024,north america,white,petrol,manual,2.4,109733.0,8345
x3,2022,asia,black,diesel,manual,4.0,53997.0,2162
i8,2010,north america,white,electric,automatic,2.5,101282.0,8396
5 series,2018,middle east,grey,petrol,automatic,3.3,87345.0,1299
x5,2016,europe,silver,petrol,automatic,4.7,64095.0,3880
x6,2018,europe,silver,hybrid,manual,1.7,117764.0,5637
x5,2017,south america,red,petrol,automatic,4.3,40275.0,8394
x6,2010,africa,silver,petrol,manual,1.7,33796.0,5935
7 series,2021,south america,blue,petrol,automatic,1.9,111071.0,5908
x6,2017,south america,red,hybrid,manual,1.9,39627.0,3147
m5,2017,asia,blue,diesel,manual,5.0,103316.0,1732
i3,2024,south america,white,hybrid,automatic,2.1,106619.0,719
i3,2020,south america,grey,hybrid,automatic,4.6,36666.0,1460
m5,2012,europe,black,electric,manual,5.0,56202.0,3235
m5,2010,south america,white,diesel,manual,2.8,108152.0,7139
i3,2017,north america,silver,hybrid,manual,3.7,102447.0,2694
x5,2012,north america,white,petrol,automatic,4.2,85983.0,3403
i3,2012,africa,blue,petrol,automatic,2.9,99958.0,8216
3 series,2010,asia,black,petrol,manual,2.1,86660.0,8650
3 series,2020,north america,silver,hybrid,automatic,3.0,78509.0,8070
x6,2014,middle east,black,electric,automatic,4.2,84798.0,169
5 series,2019,south america,red,hybrid,manual,4.2,88464.0,6353
i3,2016,north america,black,petrol,manual,2.3,33185.0,8634
m5,2019,europe,red,hybrid,automatic,2.1,66606.0,1684
7 series,2018,middle east,black,electric,automatic,4.7,85604.0,5312
m3,2021,north america,grey,diesel,manual,1.7,116198.0,7059
x1,2016,africa,grey,petrol,manual,4.1,119996.0,9620
3 series,2018,asia,white,hybrid,automatic,1.7,50651.0,8157
7 series,2017,europe,white,petrol,manual,4.4,106473.0,8666
x1,2021,africa,red,hybrid,automatic,4.7,41920.0,2600
5 series,2011,europe,black,diesel,automatic,2.5,103384.0,9334
5 series,2010,europe,red,petrol,manual,1.8,34120.0,1344
5 series,2016,europe,silver,petrol,manual,3.2,119412.0,8291
x3,2016,south america,blue,diesel,manual,2.5,34749.0,7553
m5,2023,asia,red,electric,manual,3.0,94884.0,9645
3 series,2017,europe,grey,petrol,manual,3.8,86684.0,9474
x3,2014,middle east,black,petrol,manual,2.2,60899.0,8000
5 series,2012,asia,red,diesel,automatic,2.7,39501.0,6584
7 series,2021,europe,black,diesel,automatic,4.2,60731.0,6249
i8,2017,middle east,grey,petrol,manual,3.8,71690.0,1697
i3,2015,middle east,red,diesel,manual,2.6,58894.0,6072
3 series,2020,south america,black,electric,automatic,3.8,79774.0,1142
7 series,2012,north america,silver,hybrid,automatic,4.2,42764.0,9856
i3,2010,africa,blue,petrol,manual,3.6,45834.0,7607
x3,2012,north america,white,diesel,automatic,2.3,116468.0,8333
m5,2014,africa,red,petrol,manual,1.5,59448.0,3877
3 series,2024,africa,grey,electric,manual,4.3,113482.0,4956
x5,2023,south america,black,diesel,manual,4.4,86846.0,5598
x1,2012,europe,silver,electric,manual,3.9,74494.0,6791
i3,2010,africa,blue,diesel,manual,1.8,101137.0,968
x1,2014,south america,blue,hybrid,automatic,3.5,109617.0,8217
3 series,2019,africa,silver,electric,manual,4.4,108637.0,5548
m5,2016,asia,silver,diesel,automatic,2.9,88181.0,148
3 series,2024,south america,blue,hybrid,automatic,2.2,79650.0,6447
x3,2023,south america,white,petrol,automatic,3.6,51627.0,6673
x5,2016,north america,silver,hybrid,automatic,4.4,99967.0,8127
x6,2020,europe,silver,diesel,automatic,1.7,32120.0,9970
i3,2018,asia,blue,hybrid,manual,3.6,91547.0,9832
x1,2024,asia,grey,hybrid,automatic,3.8,102818.0,3880
5 series,2024,middle east,grey,petrol,manual,3.6,49279.0,9951
5 series,2019,middle east,black,petrol,automatic,3.8,36571.0,7403
i8,2019,middle east,silver,diesel,manual,3.7,96066.0,8537
x3,2021,europe,blue,hybrid,manual,2.0,32119.0,4249
7 series,2022,middle east,blue,diesel,automatic,2.3,57691.0,271
3 series,2012,south america,blue,petrol,manual,3.7,96429.0,6974
x1,2024,middle east,grey,electric,manual,1.6,112644.0,2922
x1,2016,africa,red,petrol,automatic,3.7,49010.0,3433
x5,2010,asia,white,petrol,automatic,3.8,39793.0,6620
3 series,2013,south america,black,electric,automatic,2.3,101189.0,1476
3 series,2022,south america,red,electric,automatic,3.6,107968.0,4129
i3,2013,asia,black,petrol,automatic,3.4,51327.0,9128
3 series,2023,asia,grey,diesel,manual,2.4,84635.0,3507
x1,2014,europe,blue,hybrid,manual,3.1,77484.0,9106
3 series,2016,europe,white,electric,automatic,4.7,71328.0,3222
x5,2016,africa,white,electric,manual,3.0,72024.0,9331
x5,2022,africa,white,electric,automatic,3.7,72436.0,5761
i3,2024,middle east,blue,diesel,manual,1.6,93997.0,6920
5 series,2020,south america,blue,electric,manual,1.8,53862.0,6897
x3,2022,africa,black,petrol,manual,1.8,105924.0,5139
m5,2013,north america,grey,petrol,manual,4.2,62719.0,1396
x3,2022,europe,black,petrol,manual,2.7,49919.0,491
3 series,2016,africa,black,petrol,automatic,2.3,71591.0,6640
x5,2020,europe,blue,diesel,manual,4.1,86328.0,8960
x1,2012,middle east,white,electric,automatic,2.1,42552.0,5542
3 series,2015,europe,red,hybrid,manual,2.4,89156.0,7342
x1,2021,south america,grey,diesel,automatic,3.0,79927.0,1057
m3,2011,south america,white,petrol,automatic,2.7,39495.0,7431
m5,2019,europe,red,petrol,automatic,3.5,38271.0,6150
x3,2022,north america,grey,electric,manual,2.7,74435.0,9536
x3,2023,asia,blue,petrol,automatic,2.9,103988.0,5141
m3,2018,asia,silver,electric,manual,4.5,73953.0,1659
x3,2014,south america,white,hybrid,manual,4.6,106673.0,4699
m3,2015,africa,blue,diesel,manual,4.4,42738.0,6588
x3,2021,asia,grey,hybrid,manual,4.5,53097.0,1474
x6,2021,south america,blue,petrol,automatic,3.5,60936.0,2428
3 series,2021,asia,white,hybrid,manual,3.8,87186.0,5065
5 series,2021,asia,black,diesel,automatic,3.5,38861.0,9087
3 series,2013,asia,silver,hybrid,automatic,4.2,33086.0,5817
x1,2023,asia,white,hybrid,automatic,3.4,89868.0,3445
x5,2023,asia,silver,electric,automatic,1.9,87087.0,3372
i8,2020,north america,blue,electric,manual,4.3,70057.0,7327
x3,2019,middle east,grey,electric,manual,4.2,111173.0,808
x1,2016,middle east,blue,diesel,automatic,4.4,56309.0,3076
x1,2021,north america,grey,petrol,automatic,2.2,76909.0,6636
7 series,2018,asia,red,hybrid,manual,2.5,58752.0,3606
i8,2016,north america,blue,hybrid,manual,2.5,82447.0,1206
x1,2023,asia,silver,petrol,manual,3.3,80705.0,7058
i8,2010,south america,red,hybrid,automatic,2.0,92666.0,9368
7 series,2010,asia,white,petrol,automatic,2.8,65268.0,2069
i8,2018,asia,red,petrol,manual,2.1,116846.0,6121
x6,2020,south america,blue,diesel,automatic,2.4,114860.0,9792
x5,2023,north america,blue,hybrid,manual,4.0,43850.0,9612
7 series,2018,africa,silver,electric,manual,4.5,96859.0,8022
x6,2013,asia,red,petrol,automatic,1.6,107293.0,3205
m5,2022,north america,black,petrol,automatic,3.5,58700.0,249
x3,2018,africa,silver,hybrid,automatic,1.6,62253.0,7350
x1,2012,north america,black,electric,manual,1.8,100980.0,3581
m5,2016,north america,silver,electric,automatic,4.0,78120.0,381
m5,2015,north america,white,petrol,manual,4.1,94839.0,3880
3 series,2017,north america,blue,petrol,manual,4.3,100678.0,2815
5 series,2020,europe,blue,diesel,manual,3.2,38170.0,9239
x1,2018,africa,white,petrol,automatic,4.5,79035.0,1036
3 series,2023,south america,white,petrol,automatic,2.1,56836.0,5315
m3,2014,africa,black,hybrid,manual,2.4,33093.0,2976
x3,2010,north america,black,electric,manual,2.0,50319.0,1311
x1,2012,africa,white,electric,automatic,4.3,108905.0,5952
i8,2019,africa,silver,hybrid,manual,2.3,31212.0,3778
3 series,2021,south america,black,electric,automatic,2.0,72641.0,4298
5 series,2017,europe,silver,electric,manual,3.7,82957.0,8127
m3,2024,africa,white,hybrid,manual,1.8,91248.0,8772
x3,2020,asia,silver,hybrid,manual,1.7,113110.0,3430
i3,2015,asia,red,diesel,manual,1.9,34249.0,8483
7 series,2017,north america,white,hybrid,manual,1.5,77120.0,6825
x1,2018,asia,black,hybrid,manual,3.9,79969.0,9134
x1,2013,south america,blue,hybrid,manual,3.5,101839.0,125
x5,2010,africa,black,diesel,automatic,2.2,105887.0,5236
x5,2023,south america,white,diesel,manual,2.3,31112.0,2466
7 series,2010,south america,black,petrol,manual,4.3,51743.0,4350
x1,2019,europe,white,hybrid,automatic,3.3,102607.0,7920
i8,2013,europe,red,diesel,manual,3.9,113159.0,113
m3,2021,asia,blue,diesel,automatic,3.1,34852.0,2275
7 series,2023,asia,blue,diesel,automatic,2.3,96938.0,1714
x5,2016,north america,white,petrol,manual,4.9,103663.0,9847
3 series,2011,asia,blue,diesel,automatic,3.5,74108.0,4182
m5,2012,asia,black,electric,automatic,2.0,48461.0,3244
x3,2010,middle east,red,diesel,automatic,2.9,113525.0,6461
m3,2014,europe,blue,hybrid,automatic,2.7,111245.0,9520
x3,2010,south america,blue,electric,automatic,2.2,61329.0,4579
x5,2017,africa,silver,petrol,automatic,4.8,68638.0,7530
x5,2010,north america,grey,diesel,manual,4.6,116928.0,9850
m3,2020,south america,grey,petrol,manual,2.2,100103.0,9122
7 series,2010,south america,silver,hybrid,manual,2.7,35576.0,1916
x1,2011,south america,blue,diesel,manual,4.2,52709.0,3813
i3,2011,north america,grey,electric,automatic,2.2,73410.0,6205
m5,2021,south america,black,electric,manual,3.6,40782.0,6688
i3,2015,europe,grey,electric,manual,3.9,79002.0,1402
5 series,2016,middle east,silver,petrol,manual,3.8,38344.0,8273
m3,2014,europe,white,petrol,manual,4.0,103056.0,7577
m3,2010,europe,black,hybrid,manual,4.0,60458.0,9098
m5,2010,europe,red,diesel,manual,4.9,32486.0,4427
x5,2012,north america,white,diesel,manual,2.7,65633.0,9311
3 series,2023,africa,black,petrol,manual,4.6,101460.0,3182
i3,2011,africa,white,diesel,manual,1.6,115240.0,5797
x3,2014,africa,red,diesel,manual,2.5,114845.0,577
i3,2021,europe,white,hybrid,automatic,1.7,105938.0,3288
x3,2019,south america,red,electric,manual,3.8,42383.0,7041
i8,2015,africa,red,diesel,manual,1.9,43439.0,5284
i8,2016,europe,blue,petrol,manual,4.5,59627.0,9454
5 series,2013,asia,blue,hybrid,automatic,3.8,74501.0,6935
m3,2016,middle east,blue,electric,manual,1.6,81786.0,5058
3 series,2020,south america,grey,diesel,manual,4.0,64007.0,7793
m3,2017,north america,silver,petrol,manual,4.5,36497.0,2353
x6,2020,asia,black,hybrid,automatic,3.8,90061.0,4643
x1,2010,africa,grey,diesel,automatic,1.6,49598.0,1252
i3,2024,south america,white,hybrid,automatic,4.5,47994.0,1675
m5,2015,asia,white,petrol,automatic,4.1,52950.0,6177
m5,2017,middle east,grey,diesel,automatic,2.8,96914.0,4669
i3,2014,south america,grey,diesel,automatic,2.7,98122.0,5178
m5,2013,asia,silver,diesel,automatic,3.2,70907.0,8254
m3,2011,south america,grey,petrol,manual,4.5,96941.0,6712
i8,2015,asia,black,hybrid,automatic,2.4,30074.0,2845
m3,2015,north america,grey,electric,automatic,1.9,88780.0,4997
3 series,2020,middle east,red,petrol,manual,4.5,73453.0,7286
i3,2024,south america,blue,hybrid,manual,1.6,107658.0,9124
x6,2010,europe,white,hybrid,manual,4.7,61914.0,5045
x6,2018,south america,grey,diesel,manual,2.6,116735.0,4709
i3,2021,europe,silver,hybrid,automatic,3.3,111742.0,1482
m5,2020,africa,grey,petrol,automatic,2.0,64700.0,3134
x3,2015,middle east,grey,diesel,automatic,4.7,70672.0,6856
3 series,2022,middle east,silver,petrol,automatic,4.1,47284.0,3730
m3,2012,europe,white,diesel,manual,4.7,93837.0,8190
7 series,2013,africa,red,diesel,manual,3.9,74401.0,9067
3 series,2021,south america,grey,hybrid,automatic,2.1,112265.0,5726
7 series,2020,asia,white,petrol,automatic,2.6,71570.0,3284
i8,2013,europe,white,hybrid,automatic,3.2,70118.0,7254
i3,2012,middle east,silver,petrol,automatic,3.6,80919.0,2377
m5,2019,asia,blue,hybrid,automatic,4.7,49840.0,1883
3 series,2012,south america,silver,petrol,manual,2.8,99478.0,520
x1,2024,europe,grey,diesel,manual,4.0,71666.0,8913
i3,2012,africa,red,diesel,manual,4.9,99512.0,2353
x3,2013,south america,grey,petrol,manual,2.0,55881.0,6169
m5,2016,africa,white,diesel,automatic,4.5,109963.0,113
x5,2013,europe,white,diesel,automatic,3.0,79299.0,2353
i3,2018,africa,blue,diesel,manual,4.1,46141.0,8132
x1,2010,europe,silver,electric,manual,2.5,101553.0,1718
3 series,2017,africa,silver,diesel,manual,2.7,115369.0,5481
x6,2016,europe,black,electric,manual,1.6,89763.0,7436
x5,2011,europe,blue,petrol,automatic,4.9,117994.0,6327
i3,2017,asia,black,diesel,manual,4.3,99138.0,5415
x5,2010,north america,silver,diesel,manual,1.8,107741.0,2737
x1,2020,europe,grey,petrol,automatic,5.0,39207.0,4488
5 series,2021,north america,blue,hybrid,automatic,3.6,52030.0,1849
x5,2018,asia,black,petrol,manual,4.5,72271.0,6300
x1,2018,europe,black,petrol,manual,1.7,42749.0,3108
m3,2011,africa,white,hybrid,manual,2.9,80312.0,2792
i3,2016,middle east,black,hybrid,manual,3.8,89891.0,3901
i3,2024,asia,red,petrol,manual,1.9,62609.0,897
i3,2023,europe,grey,hybrid,automatic,3.2,54036.0,3108
x6,2019,africa,grey,hybrid,manual,3.0,116494.0,9003
3 series,2012,africa,red,electric,automatic,2.3,116827.0,9454
x6,2016,africa,grey,petrol,automatic,2.6,115705.0,7064
5 series,2021,north america,white,petrol,manual,4.9,51552.0,4585
7 series,2019,north america,silver,hybrid,automatic,2.5,32230.0,4515
i8,2018,asia,grey,petrol,manual,2.2,92606.0,9586
i8,2013,middle east,silver,hybrid,automatic,3.4,97301.0,9597
i8,2021,africa,black,diesel,manual,3.8,102381.0,9156
5 series,2010,south america,red,electric,automatic,4.0,39129.0,8440
3 series,2011,north america,grey,hybrid,automatic,4.1,105042.0,2463
i8,2010,south america,red,diesel,manual,1.6,48463.0,3398
x6,2023,south america,grey,petrol,automatic,2.9,94959.0,8066
x5,2021,asia,silver,diesel,manual,4.2,106595.0,5829
x3,2014,middle east,white,petrol,automatic,4.7,83106.0,6254
7 series,2014,north america,silver,electric,automatic,3.6,116107.0,7608
x3,2020,south america,silver,hybrid,automatic,1.7,114790.0,2156
i8,2016,south america,red,hybrid,manual,2.9,42409.0,5098
x1,2018,asia,blue,diesel,automatic,1.8,112394.0,5095
7 series,2018,north america,white,diesel,manual,4.1,40062.0,305
i8,2012,europe,blue,electric,manual,1.7,68714.0,5960
3 series,2012,europe,blue,diesel,manual,2.2,78565.0,3990
5 series,2012,middle east,blue,electric,automatic,3.0,76420.0,6844
m3,2013,middle east,white,petrol,manual,3.1,67269.0,2781
x5,2017,africa,blue,hybrid,manual,2.9,110049.0,1386
3 series,2015,north america,blue,petrol,automatic,3.1,71905.0,7571
i3,2017,south america,grey,petrol,automatic,4.0,31948.0,5863
x6,2010,north america,blue,petrol,automatic,2.8,66518.0,7163
3 series,2017,south america,silver,electric,manual,3.4,102814.0,5037
5 series,2013,middle east,grey,electric,manual,2.6,69488.0,8943
i8,2020,asia,white,hybrid,manual,2.7,34401.0,288
x1,2010,north america,red,hybrid,manual,3.6,35905.0,5184
x3,2017,europe,red,electric,manual,3.2,70778.0,8167
x6,2013,south america,red,petrol,manual,4.0,60324.0,2195
x1,2015,middle east,silver,hybrid,automatic,3.5,58708.0,3657
m5,2017,south america,silver,diesel,manual,4.3,91637.0,9121
i8,2013,africa,silver,petrol,manual,3.1,116643.0,4751
x1,2023,europe,silver,diesel,manual,3.2,53115.0,874
3 series,2012,north america,white,hybrid,manual,3.8,82258.0,9890
7 series,2023,south america,black,electric,manual,2.3,47128.0,7301
x5,2018,europe,silver,diesel,manual,2.9,37111.0,4242
m5,2012,europe,black,petrol,automatic,3.7,119792.0,3324
x5,2018,africa,black,electric,manual,1.6,67794.0,9284
i3,2022,north america,black,hybrid,automatic,3.0,115537.0,5387
x6,2011,africa,red,hybrid,automatic,3.6,81625.0,3309
7 series,2023,europe,black,diesel,manual,4.9,30463.0,7111
m3,2011,middle east,black,diesel,automatic,4.6,101785.0,1625
m5,2011,africa,red,petrol,automatic,2.5,93495.0,489
i3,2015,asia,white,hybrid,manual,3.3,91829.0,7118
m5,2012,middle east,red,diesel,manual,1.7,114903.0,8924
x1,2022,south america,black,petrol,automatic,2.3,117363.0,642
i3,2018,africa,white,hybrid,automatic,4.2,95982.0,4366
m5,2013,asia,white,petrol,automatic,1.9,81725.0,1404
x5,2010,africa,white,hybrid,automatic,2.4,62344.0,8358
3 series,2013,south america,blue,electric,automatic,4.8,35561.0,3816
x1,2010,north america,black,diesel,manual,4.4,59157.0,9680
m3,2023,south america,grey,hybrid,manual,4.2,55419.0,7109
x3,2014,south america,silver,petrol,manual,4.5,84387.0,6211
x6,2013,south america,white,electric,manual,4.1,36457.0,1866
x5,2017,europe,silver,electric,automatic,1.9,32190.0,143
x5,2017,south america,black,hybrid,manual,3.3,85852.0,5802
x3,2016,asia,grey,petrol,automatic,3.1,93537.0,5924
x6,2012,south america,grey,diesel,manual,2.6,56075.0,9184
i3,2010,asia,white,petrol,manual,4.4,33486.0,4936
5 series,2010,africa,grey,electric,manual,3.1,74267.0,2849
5 series,2021,asia,white,electric,manual,1.7,112462.0,5903
i8,2020,south america,white,hybrid,automatic,2.5,62084.0,4541
i3,2012,europe,black,hybrid,automatic,2.3,119952.0,9131
7 series,2015,europe,grey,diesel,manual,4.6,33593.0,3220
7 series,2016,africa,red,diesel,manual,3.8,85617.0,1909
x3,2015,asia,grey,diesel,manual,3.5,45543.0,6657
x6,2023,europe,white,hybrid,automatic,3.3,100512.0,9966
x5,2023,south america,grey,petrol,manual,3.8,94088.0,2930
i8,2015,middle east,silver,electric,automatic,4.1,39377.0,9525
x1,2015,africa,silver,hybrid,automatic,3.4,41990.0,8543
i8,2022,africa,black,diesel,manual,4.8,41946.0,2452
x3,2012,middle east,silver,hybrid,automatic,4.9,40370.0,6148
3 series,2015,africa,red,electric,automatic,5.0,58429.0,8981
x3,2017,north america,silver,petrol,manual,3.8,30284.0,241
3 series,2020,middle east,red,petrol,automatic,4.8,76201.0,5760
m3,2020,north america,red,hybrid,automatic,2.9,59712.0,6726
x6,2011,north america,black,diesel,automatic,4.5,85468.0,8241
i8,2014,middle east,white,diesel,manual,4.7,82911.0,4321
x6,2023,asia,red,diesel,manual,4.7,54649.0,6736
5 series,2010,africa,black,diesel,automatic,4.4,35915.0,9841
m3,2021,middle east,white,hybrid,manual,2.9,54134.0,904
m5,2024,middle east,white,hybrid,automatic,2.1,84569.0,4431
7 series,2010,africa,blue,diesel,automatic,2.7,92721.0,7521
5 series,2014,south america,black,diesel,automatic,4.2,87621.0,4611
5 series,2021,north america,blue,hybrid,manual,2.3,76581.0,6866
3 series,2022,middle east,silver,hybrid,automatic,3.2,63248.0,8095
i3,2012,middle east,red,diesel,manual,3.5,118934.0,1818
i3,2013,north america,red,electric,automatic,3.6,104651.0,1054
3 series,2012,south america,red,hybrid,manual,4.8,93319.0,3307
m3,2010,middle east,grey,petrol,manual,3.8,30946.0,6000
x5,2010,africa,black,diesel,automatic,4.3,45093.0,7103
m5,2021,north america,silver,diesel,manual,3.5,66769.0,1942
5 series,2021,europe,black,electric,automatic,4.4,84946.0,2018
